ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
12316,5.257667,7.173028,-2.063802,-0.410752,-0.025181,-0.046498,-3.599414,65.839272,5.699071
12370,5.260061,7.979874,-2.329558,-0.200113,0.046231,-0.136962,-3.599414,67.039078,6.898876
12424,5.073313,8.190564,-2.578555,-0.364920,0.011191,-0.357593,-2.849536,67.039078,7.198827
12478,4.623203,8.051701,-1.960851,-0.280585,0.065417,-0.403824,-2.399609,66.589149,8.698583
12532,4.905719,7.948750,-1.709460,-0.094194,-0.084335,-0.373980,-1.799707,69.288712,8.548608
12586,4.776433,8.070854,-1.905785,-0.056357,-0.051427,-0.224228,-1.049829,69.588661,7.798729
12640,5.214571,8.013393,-1.754950,-0.118443,-0.004930,-0.092729,-2.249634,68.838783,5.999022
12694,4.750096,8.157045,-1.805228,-0.043700,0.032908,-0.035706,-0.449927,70.188568,9.448461
12748,4.486734,8.037335,-1.678335,-0.073544,0.056090,0.032642,-0.149976,68.688812,7.948705
12802,4.891354,8.051701,-1.661576,0.131233,0.096459,0.311095,-0.149976,67.489006,8.398632
12856,4.790798,8.358158,-2.025495,0.153749,0.141492,0.297905,-2.249634,68.838783,8.548608
12910,5.219360,7.817069,-1.862689,0.103521,0.102855,0.544783,-3.149487,67.489006,7.948705
12964,5.942409,7.630321,-1.917756,0.236619,0.101389,0.750358,-4.799218,67.039078,7.948705
13018,6.708553,7.627927,-1.953669,0.401692,0.356127,1.189222,-6.298974,65.839272,6.448949
13072,6.263232,7.055712,-1.836353,0.439663,0.386770,0.886387,-8.248656,62.689789,5.399120
13126,6.402095,6.945579,-2.018312,0.573294,0.507744,1.348300,-10.348314,61.789932,6.748900
13180,6.536170,6.052542,-1.958457,0.536522,0.340273,0.522133,-13.497801,59.540302,5.699071
13234,7.867347,5.401319,-2.087744,0.623256,0.306032,1.026680,-13.797752,58.190521,4.799218
13288,7.721301,4.948815,-2.073379,0.618193,0.446724,1.016021,-15.897410,54.891056,3.899365
13342,7.793127,4.929661,-2.310405,0.496686,0.488825,1.593979,-17.997068,51.891548,4.499267
13396,8.825027,3.995923,-2.035071,0.425940,0.330680,1.217867,-20.696629,48.742058,5.249145
13450,8.592790,3.090914,-2.030283,0.399294,0.287646,1.039204,-22.346359,46.942352,4.199316
13504,9.703699,2.949656,-2.133234,0.412084,0.210639,1.048530,-24.745968,44.242794,4.649242
13558,9.720459,1.551443,-2.030283,0.612064,0.123639,1.260900,-25.345871,39.743526,5.249145
13612,9.809045,0.636858,-2.075773,1.062652,0.175199,2.138894,-25.795797,36.294086,4.649242
13666,7.934384,-0.268151,-2.518700,1.406655,-0.158812,2.825701,-28.345383,29.095261,3.749389
13720,8.784326,-0.964863,-2.772485,1.130734,-0.449655,3.107219,-28.045431,18.896921,4.499267
13774,9.315839,-1.728614,-2.937685,0.374513,-1.309263,2.395631,-23.996090,11.098192,3.149487
13828,7.781156,-3.670311,-3.600879,-0.445525,-1.844320,1.329914,-22.646311,9.748412,0.299951
13882,8.437167,-4.697424,-4.369418,-0.756221,-1.392933,1.084769,-16.797264,7.798729,-4.799218
13935,7.254431,-5.370194,-5.054160,-0.774074,-1.030677,1.478867,-14.847581,8.248656,-6.298974
13989,6.136339,-5.674258,-5.240908,-0.786331,-0.783933,0.954469,-12.297997,8.248656,-8.248656
14043,6.713342,-6.007052,-5.786786,-0.628319,-1.127536,1.642341,-8.398632,6.298974,-10.498290
14097,4.254497,-5.968745,-5.999869,-0.589815,-0.724645,1.280219,-6.298974,5.999022,-12.148021
14151,5.145139,-6.059724,-6.339846,-0.343070,-0.575559,0.666689,-2.399609,6.748900,-12.148021
14216,5.489904,-5.389348,-7.010222,-0.002531,-1.016421,1.185092,-0.749878,5.849047,-13.047874
